transcript_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001032726,0,4,7,0,0,0,0,0,6,4,7,0
MSTRG.479.1,23,10,13,0,8,0,10,0,3,4,4,0
NM_001042751,69,63,62,0,0,467,1430,0,0,272,277,663
NM_001042750,679,364,456,0,0,334,1246,0,0,236,277,696
MSTRG.461.1,57,76,137,82,31,51,90,68,106,38,86,95
NM_012216,11,20,9,7,5,6,9,16,8,12,4,17
NM_001098405_dup4,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.968.1,119,53,139,236,73,64,48,58,96,47,60,86
NM_003828,8,3,53,1,4,51,4,7,5,1,3,3
NM_001174068,0,0,0,0,0,0,0,0,0,0,0,0
NM_020730,0,5,8,20,8,0,201,7,10,2,0,8
MSTRG.967.1,999,3,4,885,6,161,4,7,220,2,344,134
NR_026935,0,0,0,0,0,0,0,0,0,0,0,0
NM_001281463,1401,9,20,3,290,896,20,9,11,5,12,1564
NM_018301,363,191,234,125,247,102,430,247,447,151,264,4
NM_001118885,0,0,0,0,0,0,0,0,0,0,0,0
NM_001118886,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.715.1,53,52,73,54,51,15,113,24,60,26,30,52
MSTRG.176.1,1962,1823,2458,1530,2013,790,1991,1857,2266,1192,2461,1259
NM_007213,243,435,527,504,263,239,403,190,181,239,369,273
NM_001168482,82,0,0,0,180,23,0,0,145,1,0,108
NM_021029,3364,988,10600,1067,778,4047,5514,8637,954,4614,0,930
NM_001168480,27,11,0,9,49,0,6,11,26,1,1,6
NM_004251,2580,2820,2049,1949,2358,864,3200,1956,4065,2244,2236,2032
NM_001081573,31,16,99,160,136,6,107,131,275,97,115,150
NM_001267713,0,11,0,0,17,0,14,25,38,0,0,15
NM_003918,0,0,0,0,0,0,0,0,0,0,0,0
NR_030236_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.172.1,4,16,3,8,15,10,4,11,12,5,6,2
NM_001242922,0,0,0,0,0,0,0,0,0,0,0,0
NM_022825,64,83,111,20,42,108,71,56,80,81,16,15
NM_003916,3341,4067,3741,1363,2523,1726,3146,3212,2811,3102,2972,2570
NR_024582,13,27,12,22,6,2,21,10,7,10,9,32
MSTRG.154.5,27,14989,10,12,9250,6071,21,13380,13881,10577,12726,12255
MSTRG.154.6,594,0,3966,4587,0,0,6772,5,9,0,0,0
MSTRG.154.7,13586,10,12311,6133,4,0,10190,4,6,3,11,10
MSTRG.465.4,59,106,161,0,0,29,280,231,0,121,0,94
NR_031725,0,0,0,0,0,0,0,0,0,0,0,0
NM_175868,0,0,0,0,0,0,0,0,0,0,3,0
NM_001164803,499,464,299,345,319,151,344,308,712,367,261,482
NM_007075,0,2,0,5,2,0,0,4,18,0,0,2
NM_000808,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042506,0,0,0,0,0,0,2,0,0,0,0,0
NM_001079872,457,249,260,83,143,133,322,110,275,204,195,276
MSTRG.441.2,180,0,414,0,0,0,0,0,0,0,0,0
MSTRG.441.1,0,0,0,0,948,0,0,0,0,0,0,0
NM_032969,0,0,0,0,0,0,0,0,0,0,0,0
NM_032968,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080146_dup8,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.473.2,368,453,867,418,663,186,400,534,744,175,280,247
NM_001185183,184,209,140,221,124,147,217,228,187,0,229,146
NM_145119,54,119,145,194,129,65,113,0,51,74,153,56
MSTRG.802.1,10,20,18,9,16,1,19,28,34,9,11,17
MSTRG.324.9,146,0,0,0,0,0,0,0,0,0,0,0
MSTRG.457.1,2,3,9,0,1,0,6,0,6,2,5,0
MSTRG.892.2,22,21,47,7,23,14,17,19,0,10,73,68
NM_001184797,43,75,78,1,44,43,56,70,57,118,39,88
MSTRG.451.1,23,43,36,18,30,14,22,6,27,24,7,14
MSTRG.983.4,263,28,123,0,197,0,156,243,0,0,194,182
NM_003173,1960,1533,2241,1066,1043,777,1364,1238,1410,908,1100,1387
NM_001080790_dup1,0,0,0,0,0,0,0,0,0,0,0,10
NM_145284,149,1,1,327,1,293,1,1,1,54,1,1
NM_003179,42,33,121,30,50,33,38,34,65,23,32,39
MSTRG.453.2,430,0,105,101,101,33,4,0,8,48,109,111
MSTRG.981.3,0,0,86,0,0,49,0,0,0,0,0,0
NM_001171020,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.981.1,95,98,65,65,57,1,60,47,42,42,38,45
MSTRG.453.6,0,108,0,0,8,0,0,0,255,0,0,1
MSTRG.981.7,194,198,148,495,431,0,822,506,956,377,363,434
MSTRG.981.4,106,101,81,58,60,42,72,51,51,53,39,50
MSTRG.981.5,0,1,599,0,0,37,0,0,0,0,0,0
NM_014253,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.328.1,9,8,11,3,6,0,10,8,13,5,3,6
NM_001145139,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005609,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1017.2,1944,0,0,0,1766,0,0,0,0,0,168,0
NM_001166400,3,0,0,4,0,0,0,0,6,0,0,0
MSTRG.512.6,43,6,37,14,3,2,13,6,12,17,2,12
NM_001184837,0,0,0,0,0,0,0,0,0,0,0,0
NM_207339,0,0,0,6,0,0,0,0,0,0,0,0
NM_001291535_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.325.1,2311,3118,5390,15122,7058,1357,3152,6787,2294,4987,11842,7372
NM_014138,48,24,45,120,33,20,0,0,50,24,21,23
NM_001081550,2983,4314,829,1227,2372,442,3315,2600,3157,2073,2692,3035
NM_032508,692,465,854,315,531,249,630,393,494,475,317,467
NM_001166221,0,0,0,0,0,0,0,0,0,0,0,0
NR_026742,73,47,85,31,49,16,49,36,69,27,43,74
MSTRG.279.1,72,44,66,65,56,21,82,32,53,29,36,25
NM_006306,15230,16075,24769,8594,9872,9785,22794,10441,14903,15351,10021,16728
NM_006307,3,0,7,8,15,0,11,3,23,3,16,4
NM_001172436,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011548,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184771,0,0,0,0,0,0,0,0,0,0,0,0
NR_104391,1,0,0,0,1,0,1,1,1,2,1,0
NR_104390,0,0,0,0,0,0,0,0,0,0,0,0
NR_104393,0,0,0,0,0,0,0,0,0,0,0,0
NR_104392,0,0,0,0,0,0,2,1,1,0,1,0
NR_104395,3,29,1,14,5,0,64,17,20,1,6,2
NR_104394,0,11,0,0,0,0,0,0,0,0,0,6
NR_104396,3,0,4,0,0,0,8,3,3,0,0,3
NM_001015877,2826,3313,1810,865,1783,1139,1437,2356,2281,2025,1503,2464
MSTRG.888.1,68,152,90,70,73,22,161,78,177,51,65,73
NM_033085,0,0,0,0,0,0,0,0,0,0,0,0
NM_014008,910,205,1817,621,1111,789,1239,952,1347,664,230,1273
NM_014009,13,7,22,10,8,13,17,5,15,0,6,6
MSTRG.265.7,4695,18,4880,0,48,2106,4797,63,4055,1227,3754,3728
MSTRG.265.6,53,1186,37,831,2553,75,37,807,26,28,7,76
MSTRG.265.5,168,0,134,0,194,121,345,0,31,0,95,56
MSTRG.265.4,15,34,20,26,45,26,16,9,16,2,6,23
MSTRG.265.3,213,1477,0,24,0,0,25,91,14,0,0,10
MSTRG.265.2,22,30,8,778,14,16,17,11,27,69,18,10
MSTRG.265.1,533,5,85,513,78,21,111,2,137,54,51,55
NM_001098408_dup4,0,0,0,0,0,0,0,0,0,0,0,0
NM_033215,100,159,84,161,176,50,276,172,205,101,179,169
NR_037501,0,0,0,0,0,0,0,0,0,0,0,0
NM_001256743,12,0,3,0,0,7,0,0,0,0,0,0
NM_001031855,0,36,0,0,0,0,0,0,0,0,99,0
NM_014735,1304,530,1137,506,981,0,1269,803,1670,592,366,714
MSTRG.336.1,17,16,19,9,8,7,8,5,13,4,7,10
NM_001185076,89,103,127,51,97,46,157,98,145,78,115,145
NM_001185075,0,66,0,0,68,0,0,72,0,0,0,0
NR_132337,0,0,3,0,0,0,2,0,0,0,5,1
NM_007003,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.330.1,96,143,195,40,65,38,223,73,113,57,69,68
NR_033924,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.740.1,146,180,33,12,115,13,197,185,276,48,36,76
NM_001126055,338,22,23,0,472,0,698,3,41,11,0,14
NM_001126054,0,0,0,0,0,0,0,0,0,0,0,0
NM_024539,0,0,0,0,0,0,0,0,0,0,0,0
NR_039659,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.668.1,22,14,21,5,8,11,21,14,16,9,13,11
MSTRG.1040.1,9,15,30,11,14,13,37,15,36,6,8,12
NR_031690,0,0,0,0,0,0,0,0,0,0,0,0
NM_001169124,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271752,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.92.1,41,40,117,36,30,22,42,12,48,2,59,33
NM_001169125,0,0,0,0,0,0,0,0,0,0,0,0
NR_033714,90,88,100,64,0,89,100,129,226,158,131,171
MSTRG.587.1,371,544,579,336,122,166,273,78,921,88,195,283
NR_033717,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170574,0,0,0,0,0,0,0,0,0,0,0,0
NR_027760,0,0,0,0,0,0,0,0,0,0,0,0
NR_027761,2,2,1,2,0,1,2,1,3,2,1,3
NM_001097596_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.90.1,162,92,183,124,209,125,255,144,211,156,151,52
NR_029379,25,23,48,18,21,11,38,16,56,18,36,10
MSTRG.852.2,496,0,524,0,0,349,0,0,0,0,0,0
NM_152278,8,0,0,0,0,0,0,0,0,0,0,0
NR_037183,0,0,0,0,0,0,0,0,0,0,0,0
NM_001129828_dup1,0,0,0,0,0,0,0,0,0,0,0,0
NM_152780,0,0,0,0,0,0,0,0,0,0,0,0
NM_005334,9163,5852,9260,6405,8639,221,6988,4097,7601,5408,4524,6175
NM_005333,1791,1478,1461,1017,1343,435,1472,1426,2000,983,1360,1345
NM_152787,1599,2386,0,3,867,626,2039,1365,2859,0,1817,130
NM_001301229,0,295,77,0,0,0,0,1,0,100,58,434
NM_001301228,837,612,900,391,465,337,706,833,489,259,437,277
NM_175729_dup1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001142422,133,135,85,112,89,44,87,154,176,73,115,146
NM_001256187,81,1964,122,1052,688,48,1458,1274,119,0,72,75
NM_001256186,32,0,0,0,0,0,0,0,0,0,0,0
NM_001256185,122,0,96,0,712,97,0,0,0,0,0,0
NM_001142423,2235,2881,1923,1565,2596,1031,2730,2584,4324,1873,3074,2821
NR_039765,1,1,0,1,1,0,1,1,1,0,1,1
MSTRG.928.1,272,266,339,197,4200,110,336,184,339,1758,127,238
MSTRG.72.1,1,4,0,4,0,0,0,0,9,2,3,0
MSTRG.334.1,5,1,0,0,0,2,9,4,0,0,0,10
NM_001256188,157,0,0,0,0,0,0,0,0,0,0,0
NM_001009932,97,0,188,50,111,0,80,117,222,70,64,41
NM_001009933,16,149,0,0,0,0,0,0,81,0,19,0
MSTRG.314.2,0,2,429,0,0,0,4373,2,1,0,0,0
NM_177537,36,2,0,0,0,0,0,0,0,0,0,0
MSTRG.314.1,0,0,0,53,44,634,0,0,0,0,45,64
NM_001034832_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.203.1,151,147,205,104,106,56,94,136,117,84,104,175
NM_001097605,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.312.1,1827,3867,1986,49,1775,680,1817,2586,2269,1344,2318,2720
MSTRG.312.2,1,0,0,0,0,0,0,0,0,0,0,1329
NM_134446,211,0,167,332,114,109,0,130,162,0,0,259
NM_134445,0,0,0,0,0,0,0,0,0,0,108,0
MSTRG.632.1,5,360,25,21,20,78,0,22,0,15,141,112
MSTRG.310.2,104,53,67,74,28,17,0,0,59,0,58,51
MSTRG.310.3,0,74,12,78,9,32,24,63,64,21,17,56
MSTRG.310.1,150,315,925,129,359,107,76,200,308,41,328,87
MSTRG.771.1,0,49,31,25,71,12,86,83,73,52,43,51
MSTRG.904.6,128,167,1,0,0,0,1,33,53,396,604,18
MSTRG.310.4,0,42,21,29,44,3,16,19,42,1,46,34
MSTRG.310.5,0,55,9,49,2,0,0,0,46,0,0,0
MSTRG.310.8,253,159,279,37,170,233,581,316,136,287,653,69
MSTRG.583.1,83,42,45,8,0,20,10,1,4,3,7,73
NM_001005332,1594,1558,2086,639,707,0,1587,1165,1340,873,1236,682
NM_001005333,11,311,4,572,343,0,4,3,10,0,311,0
NR_107055,0,0,0,0,0,0,0,0,0,0,0,0
NM_019056,1647,1028,1538,1593,1097,567,1353,1197,1525,833,1389,1312
NM_177404,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.902.1,61,147,19,0,0,20,0,0,107,0,1,0
NR_030399,0,0,0,0,0,0,0,0,0,1,0,0
MSTRG.581.1,196,192,119,44,64,35,51,2,88,68,100,130
NM_001242922_dup5,0,0,0,0,0,0,0,0,0,0,0,0
NM_004006,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242922_dup7,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242922_dup6,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242922_dup1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001522,2,0,0,0,0,0,0,0,0,0,0,0
NM_001242922_dup3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242922_dup2,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.215.1,0,711,0,4,0,0,0,0,0,0,0,2058
NM_001242922_dup9,0,0,0,0,0,0,0,0,0,0,0,0
NM_021120,0,0,0,81,5,0,0,4,0,0,0,1
NM_004009,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.215.5,2,3,58,0,1771,2,1228,0,0,0,2,1
MSTRG.761.1,1,2,2,0,0,0,4,0,4,0,13,0
MSTRG.932.1,2,6,10,4,5,4,1,3,6,1,3,8
MSTRG.767.1,32,23,49,0,0,26,9,0,6,0,15,5
NM_205849,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.936.8,0,979,0,0,1833,0,1796,0,897,0,0,272
MSTRG.936.9,0,63,0,0,0,1,0,0,18,0,0,0
MSTRG.765.1,74,124,62,55,94,50,128,138,141,64,51,43
NM_001325,2238,2274,319,1758,1724,877,2217,221,2889,1252,1691,1704
NM_001456,27567,11997,9664,14910,20323,6397,38541,8866,30272,10762,11267,12728
NM_004135,3676,0,0,0,0,0,0,1034,0,0,2243,0
NM_001017438_dup2,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.936.1,1633,1640,923,436,175,439,796,1330,1,1306,1206,1294
MSTRG.936.2,23,1252,1345,1,2,508,105,1372,9,9,1679,1193
MSTRG.936.3,0,0,0,0,0,452,0,0,0,0,0,0
MSTRG.180.2,0,0,0,0,0,0,0,0,1191,0,0,0
MSTRG.936.6,0,0,0,0,0,0,0,0,2697,0,0,0
MSTRG.936.7,1576,4,96,792,10,0,54,2,300,1263,0,0
NR_051952,0,0,0,0,0,71,0,0,0,0,114,0
NM_000495,0,0,0,0,0,0,0,0,0,0,0,6
MSTRG.609.1,5,12,0,0,3,0,0,3,9,0,5,0
NM_004312,4,0,2,0,2,2,5,0,6,3,0,0
NM_000328,80,393,200,221,356,85,188,224,63,280,314,354
MSTRG.10.1,35,21,27,19,12,3,35,14,13,10,13,15
NM_001195576,0,0,0,0,0,0,0,0,0,0,0,6
NM_001195577,0,0,0,0,0,0,0,0,0,0,0,0
NM_024332,1354,1568,1202,849,1445,679,2251,1740,1928,930,1167,895
MSTRG.819.1,49,32,41,20,34,13,50,16,30,24,31,15
NM_001244892_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6.1,2,0,0,0,0,0,0,0,0,0,0,0
NR_110398_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.895.12,4,21,47,0,1,6,8,0,21,2,3,0
MSTRG.662.2,143,2,121,1,358,1,0,125,32,0,0,1
NM_001195578,0,0,0,0,0,0,0,0,0,0,0,0
NM_004484,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.941.10,991,797,23,511,6,451,12,27,17,504,0,30
MSTRG.941.11,69,101,101,47,70,40,127,88,117,62,0,108
MSTRG.941.12,176,227,245,111,260,103,240,233,247,169,0,212
MSTRG.941.13,193,241,240,113,256,104,242,232,252,171,0,201
MSTRG.941.14,161,107,171,0,115,0,313,0,0,91,0,0
MSTRG.941.15,29,9,29,7,13,10,20,6,14,8,9,10
NM_012196,0,0,0,0,0,0,0,0,0,0,0,0
NM_181532,3,0,1,0,0,0,0,0,0,0,0,0
NM_020721,0,0,0,8,0,0,0,0,0,0,0,0
MSTRG.1031.1,167,329,92,592,661,277,544,600,711,369,101,458
MSTRG.1031.2,648,177,541,108,0,0,0,0,140,0,401,0
MSTRG.1031.3,0,0,242,0,0,0,0,0,42,0,88,166
NM_000032,0,0,0,0,0,0,0,2,0,0,0,0
NM_000033,427,184,313,437,368,173,571,285,450,200,318,280
NM_017856,14,6,15,2,106,0,89,11,94,5,9,107
NR_024440,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.859.6,29,23,46,22,68,6,28,25,51,37,34,34
MSTRG.859.7,48,174,174,96,153,27,205,81,188,62,146,100
NM_001102576,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.432.1,15,23,26,7,14,3,11,11,26,7,0,11
NR_130179,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.599.1,4,15,8,8,11,6,15,5,8,3,2,10
NM_001291415,0,0,198,40,0,314,416,0,0,378,0,130
NM_001291416,736,441,633,8,435,244,378,14,540,576,306,531
NM_001291417,0,75,70,6,0,0,0,0,0,90,107,83
NM_194277,0,0,0,0,3,0,0,0,0,0,0,0
NM_030801_dup1,5,0,6,0,0,0,0,0,0,0,0,0
NM_001032393,784,818,721,0,553,0,717,1099,751,460,297,454
NM_004794,1190,1320,1681,889,760,788,962,1107,926,591,1293,1282
NM_001291418,0,90,195,46,0,0,0,0,0,222,109,217
NR_033772_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.845.1,0,14,14,0,0,5,5,11,0,0,0,12
MSTRG.12.1,0,1,0,2,2,2,8,0,4,0,0,0
MSTRG.8.2,9,19,13,4,0,2,5,0,90,8,0,7
NR_024062,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.589.1,17,23,16,15,20,9,27,28,18,13,27,16
MSTRG.573.1,3555,3,0,0,0,0,0,0,10,0,0,2768
MSTRG.406.1,37,27,13,13,26,15,28,21,50,22,25,23
MSTRG.573.3,328,197,186,208,140,0,270,365,342,577,293,179
MSTRG.20.1,59,21,48,27,8,0,38,0,36,20,5,51
MSTRG.573.5,840,0,0,0,0,0,0,0,0,0,0,441
MSTRG.573.4,598,0,0,0,0,0,0,0,0,0,0,998
NM_020473,74,0,0,0,0,0,56,0,0,0,0,0
NM_198881,9,0,0,4,0,0,4,0,53,9,26,70
NM_006240,0,6,9,0,10,0,0,0,10,2,0,5
MSTRG.652.1,3,11,2,1,1,0,0,0,3,0,0,2
NM_001303465,51,0,29,131,0,0,0,47,57,0,77,73
MSTRG.571.1,12,4,17,20,17,6,58,19,24,11,15,10
MSTRG.436.1,4,234,735,256,904,1,7,937,2,2,496,2
NM_001079860,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.436.3,35,38,0,0,258,0,0,82,151,0,0,0
MSTRG.436.2,297,0,689,370,190,108,123,0,94,230,0,56
MSTRG.436.5,68,0,6,7,0,6,4,0,15,22,6,52
MSTRG.436.4,358,719,200,16,31,15,97,37,267,39,182,253
MSTRG.436.9,393,863,0,300,0,505,983,0,1025,495,0,820
MSTRG.122.1,22,24,27,30,31,25,77,21,29,16,37,22
NM_017938,239,4,10,49,8,11,27,167,286,149,6,165
NM_016521,0,6,0,0,0,3,0,0,0,0,0,2
NM_001475_dup2,0,0,0,0,0,0,0,0,0,0,0,0
NR_031646,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.113.12,101,181,128,89,138,0,167,84,113,180,88,4
MSTRG.100.1,2562,869,2248,1981,1737,473,1368,1613,3303,510,1461,1542
MSTRG.113.10,104,0,0,0,0,0,0,0,0,0,0,0
NM_001291528,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291529,0,0,0,0,0,0,0,0,0,0,0,0
NM_006649,2720,2411,3283,1847,2355,1074,3011,2232,3594,1908,2310,1860
MSTRG.839.1,3,0,9,2,0,0,2,2,3,2,4,4
NM_002764,4089,5228,5090,2744,3268,1746,4314,3805,5617,3288,3672,4142
NM_002765,3870,5940,3862,3220,4024,1603,4684,4250,5896,1846,3909,4855
NM_001085354,0,44,40,0,15,0,22,0,0,0,0,34
NM_001139501,0,0,0,0,0,0,0,0,0,0,0,1
NM_001184782,171,106,117,40,179,70,250,0,39,21,231,59
MSTRG.660.1,282,418,323,268,201,61,305,160,332,134,317,333
NM_003147,0,0,0,0,0,0,0,0,0,0,0,0
NM_001171039,30,6,0,0,0,0,0,0,0,0,0,0
NM_001171038,21,12,7,4,12,0,0,41,6,0,3,0
MSTRG.130.1,5,11,18,19,8,5,22,12,11,8,10,3
NM_001193280,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193281,0,0,0,0,0,0,0,0,0,0,0,0
NM_001307940,0,0,3,0,0,0,0,0,0,0,0,0
NM_013346,157,1211,2969,748,615,109,927,752,418,1321,392,2260
NM_013347,7,7,15,2,9,5,16,8,7,8,5,2
NM_139250_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.402.4,5,2,19,0,1,5,18,13,28,2,17,0
MSTRG.402.5,0,1,0,0,18,1,35,4,5,4,18,0
MSTRG.402.6,20,13,23,12,15,5,14,16,9,12,7,4
MSTRG.402.1,5,9,1,49,26,0,7,2,24,12,15,15
MSTRG.402.2,76,62,9,13,47,12,69,37,91,48,55,35
MSTRG.402.3,0,0,0,0,0,5,1,71,11,0,0,0
NM_001166419,78,320,253,105,222,33,175,287,242,100,164,119
NM_001166418,0,0,181,101,89,0,0,0,0,0,0,108
NM_153380,0,0,0,0,0,0,0,0,0,0,0,0
NM_001303613,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080146,0,0,0,0,0,0,0,0,0,0,0,0
NR_039763,0,0,0,0,0,0,0,0,0,0,2,0
NR_031732,0,0,0,0,0,0,0,0,0,0,0,0
NR_031733,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080142,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080143,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080140,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.956.1,0,0,151,0,69,77,79,0,0,0,0,1
NM_001171581,602,630,243,1185,294,382,303,1140,831,119,244,769
MSTRG.111.2,5,8,8,2,5,1,11,14,6,1,7,1
NM_005834,1785,1069,2309,1401,1404,768,1571,1208,2142,955,1481,1447
MSTRG.138.3,0,0,466,0,46,0,1,205,207,0,0,0
NM_175729,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.113.2,362,598,339,151,257,184,1032,104,588,393,381,480
MSTRG.113.1,2,13,7,64,3,240,11,311,3,25,122,260
MSTRG.113.7,80,6,1,2,394,0,146,5,7,0,0,0
MSTRG.113.6,182,39,1,91,15,5,53,54,205,1,22,52
MSTRG.113.5,68,83,96,70,73,97,80,38,5,139,67,144
MSTRG.113.4,1683,1740,1243,860,857,0,1649,253,1341,961,622,0
MSTRG.113.9,264,444,539,1,156,0,513,1,363,409,170,268
MSTRG.113.8,77,94,96,0,69,256,67,0,83,133,72,138
NR_104388,1,3,3,0,2,7,0,0,2,3,8,0
NR_104389,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1009.1,6,3,0,0,2,2,5,10,6,6,2,5
NM_001303625,0,198,0,0,140,0,0,0,0,0,0,0
NM_001303624,3148,312,225,2489,5529,642,671,5,1167,2180,13,1801
NR_104387,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011551,982,913,873,808,897,394,720,1077,1173,601,1207,689
NM_001303620,156,691,260,310,405,672,74,137,600,354,30,140
NR_110830,17,15,0,3,5,0,13,4,7,4,0,4
MSTRG.938.1,12,3,1,6,2,0,0,2,4,1,3,11
NM_001097604_dup1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.174.1,10,12,8,18,10,6,11,38,16,5,5,11
NM_032428,0,0,3,0,17,0,0,0,0,0,0,0
MSTRG.89.1,503,201,557,72,3663,378,3591,479,645,311,472,1446
NR_130638,0,0,0,2,0,0,0,0,7,0,0,0
MSTRG.741.1,61,226,79,22,48,24,168,83,312,61,87,94
NR_037511,1,0,2,1,0,0,0,1,0,0,0,0
NM_001185063,0,0,0,0,0,0,0,0,0,0,0,0
